dataset,injector,targets_subdimension,dose,seed,realized_dose,pretraining_score,threshold,risk_level,modality,context,targets_subdimension_post,dimension,model,n_train,n_test,units,downstream_auc,downstream_ece,downstream_brier,evaluator,worst_subgroup_auc,subgroup_auc_gap,n_subgroups_scored
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.1,3,0.1000815328169588,0.1732,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6761594923054054,0.002295616992901775,0.09394826386485941,clean held-out test set (no pre-training detector reused),0.5919540229885057,0.15857526423802926,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.2,3,0.1999592335915206,0.1776,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6460900829901338,0.002741361373033018,0.09583625848457585,clean held-out test set (no pre-training detector reused),0.4682839173405211,0.2557810085592672,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.2,3,0.1999592335915206,0.1776,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6750264224278176,0.004019177683803559,0.09409384412394158,clean held-out test set (no pre-training detector reused),0.5718390804597702,0.17921949399329962,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.3,3,0.3000407664084794,0.18,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.646637753949409,0.003150569804985514,0.09580490442080704,clean held-out test set (no pre-training detector reused),0.47259658580413294,0.24899833303849234,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.3,3,0.3000407664084794,0.18,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6755182027117161,0.002885920384578262,0.09402152347056565,clean held-out test set (no pre-training detector reused),0.5517241379310345,0.20021658189959368,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.4,3,0.3999184671830412,0.1836,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6465110434847532,0.003470657573512209,0.0958528608607937,clean held-out test set (no pre-training detector reused),0.47349505840071876,0.252863445480721,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.4,3,0.3999184671830412,0.1836,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6752735787393959,0.0031622405192386458,0.09409849948788962,clean held-out test set (no pre-training detector reused),0.5431034482758621,0.21166013676295237,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.0,4,0.0,0.1752,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6496788674356553,0.009277605719172879,0.09620948953714482,clean held-out test set (no pre-training detector reused),0.5092879256965945,0.2550362275164476,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.0,4,0.0,0.1752,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6750904321724462,0.004751755839083983,0.09470404350659184,clean held-out test set (no pre-training detector reused),0.568503937007874,0.21969050743657037,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.03,4,0.0299716484406642,0.1764,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6495085539848837,0.00934552469859619,0.09620824422455886,clean held-out test set (no pre-training detector reused),0.505749668288368,0.25572548207567125,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.03,4,0.0299716484406642,0.1764,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.675567423595078,0.003725925344381086,0.09468097192060895,clean held-out test set (no pre-training detector reused),0.5958661417322835,0.1784394138232721,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.05,4,0.0500202511138112,0.1764,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6497782598035775,0.00981799234566724,0.09623590342654051,clean held-out test set (no pre-training detector reused),0.5048651039363113,0.2556603788113937,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.05,4,0.0500202511138112,0.1764,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6748373540829109,0.0031913196426138204,0.09457495353283715,clean held-out test set (no pre-training detector reused),0.5801181102362205,0.21443712876346288,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.1,4,0.1000405022276225,0.1788,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6494187767143286,0.008352137624401835,0.09622158485204693,clean held-out test set (no pre-training detector reused),0.5030959752321982,0.25727122957945114,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.1,4,0.1000405022276225,0.1788,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6761440489318382,0.0033324988189610038,0.09458617286561989,clean held-out test set (no pre-training detector reused),0.5822834645669291,0.2093832020997375,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.2,4,0.200081004455245,0.182,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.648973131755804,0.00923471759514177,0.09621790658456175,clean held-out test set (no pre-training detector reused),0.5037593984962406,0.2567660842514643,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.2,4,0.200081004455245,0.182,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6751274354928649,0.004685766544043965,0.09474678583194278,clean held-out test set (no pre-training detector reused),0.599015748031496,0.1784454738741703,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.3,4,0.299918995544755,0.1848,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6498148345742757,0.009705797191084555,0.0963095999580315,clean held-out test set (no pre-training detector reused),0.4995577178239717,0.2631836560285133,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.3,4,0.299918995544755,0.1848,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6754329992354517,0.0035227475419614736,0.09467749368905455,clean held-out test set (no pre-training detector reused),0.577755905511811,0.20872715874903103,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.4,4,0.3999594977723775,0.1848,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6492666493553358,0.008549745843487649,0.0962675521379864,clean held-out test set (no pre-training detector reused),0.5011057054400707,0.26068600079607995,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.4,4,0.3999594977723775,0.1848,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6742955269834616,0.0037411839423983607,0.09479813129240437,clean held-out test set (no pre-training detector reused),0.5783464566929133,0.195790928555583,12.0
diabetes_130,label_flip,label_integrity,0.0,0,0.0,0.1915547640842617,0.05,high,tabular,health,label_integrity,content_safety,logreg,76324,25442,fraction,0.6485537763746835,0.004617730827862116,0.09567269392442873,clean held-out test set (no pre-training detector reused),0.5449624060150375,0.285919946926139,12.0
diabetes_130,label_flip,label_integrity,0.0,0,0.0,0.1915547640842617,0.05,high,tabular,health,label_integrity,content_safety,xgboost,76324,25442,fraction,0.676756726987819,0.0011996796529846361,0.09420785749485346,clean held-out test set (no pre-training detector reused),0.5897744360902256,0.1955196815568332,12.0
diabetes_130,label_flip,label_integrity,0.03,0,0.0300036685708296,0.227572529393027,0.05,high,tabular,health,label_integrity,content_safety,logreg,76324,25442,fraction,0.6467432083479242,0.023482233168191903,0.09621146751629461,clean held-out test set (no pre-training detector reused),0.5311278195488722,0.29387218045112773,12.0
diabetes_130,label_flip,label_integrity,0.03,0,0.0300036685708296,0.227572529393027,0.05,high,tabular,health,label_integrity,content_safety,xgboost,76324,25442,fraction,0.6735337915428501,0.023041920444464896,0.09489073563038178,clean held-out test set (no pre-training detector reused),0.604812030075188,0.19404067162725458,12.0
diabetes_130,label_flip,label_integrity,0.05,0,0.0499973795922645,0.2498826535206473,0.05,high,tabular,health,label_integrity,content_safety,logreg,76324,25442,fraction,0.6436611255083905,0.03867199754463016,0.0972341728326942,clean held-out test set (no pre-training detector reused),0.5414901960784314,0.28203921568627444,12.0
diabetes_130,label_flip,label_integrity,0.05,0,0.0499973795922645,0.2498826535206473,0.05,high,tabular,health,label_integrity,content_safety,xgboost,76324,25442,fraction,0.673612184974464,0.038337403029175876,0.09588821285413933,clean held-out test set (no pre-training detector reused),0.5774436090225563,0.23505639097744369,12.0
diabetes_130,label_flip,label_integrity,0.1,0,0.0999947591845291,0.3021709872630904,0.05,high,tabular,health,label_integrity,content_safety,logreg,76324,25442,fraction,0.6402196063304866,0.0770055930687436,0.1018788945062557,clean held-out test set (no pre-training detector reused),0.5554887218045114,0.2474524546660769,12.0
