dataset,modality,context,injector,targets_subdimension,dimension,dose,realized_dose,seed,model,n_train,n_test,units,downstream_auc,downstream_ece,downstream_brier,evaluator,worst_subgroup_auc,subgroup_auc_gap,n_subgroups_scored
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4000052408154709,3,xgboost,76324,25442,fraction,0.5775734056193341,0.311402192957352,0.1952963501277807,clean held-out test set (no pre-training detector reused),0.45568039950062417,0.22101132982268407,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,4,logreg,76324,25442,fraction,0.6496788674356553,0.009277605719172879,0.09620948953714482,clean held-out test set (no pre-training detector reused),0.5092879256965945,0.2550362275164476,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,4,xgboost,76324,25442,fraction,0.6750904321724462,0.004751755839083983,0.09470404350659184,clean held-out test set (no pre-training detector reused),0.568503937007874,0.21969050743657037,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.03,0.03000366857082962,4,logreg,76324,25442,fraction,0.650714103307941,0.02350734889473275,0.09665221563032517,clean held-out test set (no pre-training detector reused),0.5192392746572313,0.25141599599803943,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.03,0.03000366857082962,4,xgboost,76324,25442,fraction,0.6735316643778736,0.02363859487744483,0.09524408988863199,clean held-out test set (no pre-training detector reused),0.5405511811023622,0.22187363687801132,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.05,0.04999737959226456,4,logreg,76324,25442,fraction,0.6479480408241762,0.038038779556079975,0.09757898178104028,clean held-out test set (no pre-training detector reused),0.5095090667846085,0.2598799803822164,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.05,0.04999737959226456,4,xgboost,76324,25442,fraction,0.6712156180597835,0.03796518029368785,0.09620200640069303,clean held-out test set (no pre-training detector reused),0.5824803149606299,0.15699420229166516,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.1,0.09999475918452912,4,logreg,76324,25442,fraction,0.6463501581278343,0.07692850126503602,0.10214577548335864,clean held-out test set (no pre-training detector reused),0.5347191508182221,0.22849705684243005,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.1,0.09999475918452912,4,xgboost,76324,25442,fraction,0.6650802742973784,0.07688274901914045,0.10099014592782403,clean held-out test set (no pre-training detector reused),0.5604330708661418,0.22699966101103453,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.2,0.20000262040773545,4,logreg,76324,25442,fraction,0.6358698110829721,0.15442072764775178,0.1204778032048084,clean held-out test set (no pre-training detector reused),0.5137107474568775,0.24032533991254323,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.2,0.20000262040773545,4,xgboost,76324,25442,fraction,0.6463704402173374,0.15434100066238668,0.1198431759751985,clean held-out test set (no pre-training detector reused),0.5519685039370079,0.2400542880857841,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.3,0.2999973795922646,4,logreg,76324,25442,fraction,0.6093545516039861,0.2312379464117759,0.15107454672111742,clean held-out test set (no pre-training detector reused),0.4369747899159664,0.32691409897292245,12.0
