dataset,modality,context,injector,targets_subdimension,dimension,dose,realized_dose,seed,model,n_train,n_test,units,downstream_auc,downstream_ece,downstream_brier,evaluator,worst_subgroup_auc,subgroup_auc_gap,n_subgroups_scored
framingham,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,4,xgboost,3180,1060,fraction,0.6732186901940733,0.04744273725774068,0.12712097327830071,clean held-out test set (no pre-training detector reused),0.5277777777777778,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.03,0.029874213836477988,4,logreg,3180,1060,fraction,0.7248633747642308,0.03145609601062435,0.11679774296527705,clean held-out test set (no pre-training detector reused),0.6203703703703703,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.03,0.029874213836477988,4,xgboost,3180,1060,fraction,0.6660540697393239,0.03799210550913693,0.12659233720405147,clean held-out test set (no pre-training detector reused),0.4166666666666667,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.05,0.05,4,logreg,3180,1060,fraction,0.7271364317841079,0.035931207154876695,0.11747755357049731,clean held-out test set (no pre-training detector reused),0.7592592592592592,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.05,0.05,4,xgboost,3180,1060,fraction,0.6619708578890278,0.03407291386294054,0.1257574697117385,clean held-out test set (no pre-training detector reused),0.5,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.1,0.1,4,logreg,3180,1060,fraction,0.7203172607244764,0.08157877505234898,0.12317331059754784,clean held-out test set (no pre-training detector reused),0.5555555555555556,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.1,0.1,4,xgboost,3180,1060,fraction,0.6088200139561556,0.07086781317649304,0.13550917880520447,clean held-out test set (no pre-training detector reused),0.37037037037037035,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.2,0.2,4,logreg,3180,1060,fraction,0.7132424571124576,0.1382684513198969,0.1368220730138707,clean held-out test set (no pre-training detector reused),0.5185185185185186,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.2,0.2,4,xgboost,3180,1060,fraction,0.6486917831406877,0.12335212312744191,0.1437994015717709,clean held-out test set (no pre-training detector reused),0.6759259259259258,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.3,0.3,4,logreg,3180,1060,fraction,0.6941460145503286,0.22684465583424296,0.17274460424379487,clean held-out test set (no pre-training detector reused),0.4537037037037037,0.0,1.0
