dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.029917121487770367,1,physical_safety,outcome_severity_exposure,0.11147214506577223,76324,8508,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.04992925005053568,1,content_safety,label_integrity,0.19091571211410707,76324,8499,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.04992925005053568,1,content_safety,representation_imbalance,0.6502953573861807,76324,496,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.04992925005053568,1,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.05,0.04992925005053568,1,physical_safety,safety_critical_edge_case_coverage,0.1752,76324,62,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.04992925005053568,1,physical_safety,outcome_severity_exposure,0.11134112467900005,76324,8498,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.10006064281382657,1,content_safety,label_integrity,0.190675814755147,76324,8490,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.10006064281382657,1,content_safety,representation_imbalance,0.6503084594248579,76324,498,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.10006064281382657,1,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.1,0.10006064281382657,1,physical_safety,safety_critical_edge_case_coverage,0.1764,76324,59,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.10006064281382657,1,physical_safety,outcome_severity_exposure,0.11105287982810125,76324,8476,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.19991914291489793,1,content_safety,label_integrity,0.1898171212738992,76324,8428,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.19991914291489793,1,content_safety,representation_imbalance,0.6499678064192503,76324,503,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.19991914291489793,1,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.2,0.19991914291489793,1,physical_safety,safety_critical_edge_case_coverage,0.17880000000000001,76324,53,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.19991914291489793,1,physical_safety,outcome_severity_exposure,0.11033226770085425,76324,8421,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.29997978572872447,1,content_safety,label_integrity,0.18908270978362052,76324,8384,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.29997978572872447,1,content_safety,representation_imbalance,0.6499809084579276,76324,510,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.29997978572872447,1,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.3,0.29997978572872447,1,physical_safety,safety_critical_edge_case_coverage,0.18280000000000002,76324,43,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.29997978572872447,1,physical_safety,outcome_severity_exposure,0.10980818615376553,76324,8381,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.40004042854255106,1,content_safety,label_integrity,0.18830870436109534,76324,8329,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.40004042854255106,1,content_safety,representation_imbalance,0.6497843778777693,76324,514,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.40004042854255106,1,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.4,0.40004042854255106,1,physical_safety,safety_critical_edge_case_coverage,0.182,76324,45,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.40004042854255106,1,physical_safety,outcome_severity_exposure,0.10900896179445521,76324,8320,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,2,content_safety,label_integrity,0.1911837900826509,76324,8534,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,2,content_safety,representation_imbalance,0.6503739696182441,76324,494,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,2,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.0,0.0,2,physical_safety,safety_critical_edge_case_coverage,0.1728,76324,68,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,2,physical_safety,outcome_severity_exposure,0.11160316545254442,76324,8518,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.02990766760337214,2,content_safety,label_integrity,0.1910810697821772,76324,8523,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.02990766760337214,2,content_safety,representation_imbalance,0.650308459424858,76324,494,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.02990766760337214,2,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.03,0.02990766760337214,2,physical_safety,safety_critical_edge_case_coverage,0.174,76324,65,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.02990766760337214,2,physical_safety,outcome_severity_exposure,0.11145904302709501,76324,8507,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.04997992773986351,2,content_safety,label_integrity,0.19099883313767493,76324,8508,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.04997992773986351,2,content_safety,representation_imbalance,0.6503346635022125,76324,495,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.04997992773986351,2,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.05,0.04997992773986351,2,physical_safety,safety_critical_edge_case_coverage,0.1752,76324,62,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.04997992773986351,2,physical_safety,outcome_severity_exposure,0.11143283894974058,76324,8505,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09995985547972702,2,content_safety,label_integrity,0.19059020880118832,76324,8491,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09995985547972702,2,content_safety,representation_imbalance,0.6502298471927946,76324,495,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09995985547972702,2,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.1,0.09995985547972702,2,physical_safety,safety_critical_edge_case_coverage,0.176,76324,60,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09995985547972702,2,physical_safety,outcome_severity_exposure,0.11105287982810125,76324,8476,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.19991971095945404,2,content_safety,label_integrity,0.1894906257543082,76324,8420,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.19991971095945404,2,content_safety,representation_imbalance,0.6501643369994087,76324,498,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.19991971095945404,2,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.2,0.19991971095945404,2,physical_safety,safety_critical_edge_case_coverage,0.1784,76324,54,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.19991971095945404,2,physical_safety,outcome_severity_exposure,0.11009643100466432,76324,8403,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.30008028904054596,2,content_safety,label_integrity,0.1886502992187591,76324,8365,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.30008028904054596,2,content_safety,representation_imbalance,0.6499547043805731,76324,496,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.30008028904054596,2,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.3,0.30008028904054596,2,physical_safety,safety_critical_edge_case_coverage,0.1804,76324,49,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.30008028904054596,2,physical_safety,outcome_severity_exposure,0.1095723494575756,76324,8363,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.400040144520273,2,content_safety,label_integrity,0.18843220156592788,76324,8331,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.400040144520273,2,content_safety,representation_imbalance,0.6500595206899907,76324,493,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.400040144520273,2,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.4,0.400040144520273,2,physical_safety,safety_critical_edge_case_coverage,0.184,76324,40,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.400040144520273,2,physical_safety,outcome_severity_exposure,0.10907447198784131,76324,8325,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,3,content_safety,label_integrity,0.19144677226689172,76324,8533,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,3,content_safety,representation_imbalance,0.6502953573861808,76324,505,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,3,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.0,0.0,3,physical_safety,safety_critical_edge_case_coverage,0.172,76324,70,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,3,physical_safety,outcome_severity_exposure,0.11160316545254442,76324,8518,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.029963310232368527,3,content_safety,label_integrity,0.1913112437117522,76324,8515,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.029963310232368527,3,content_safety,representation_imbalance,0.6502298471927948,76324,507,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.029963310232368527,3,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.03,0.029963310232368527,3,physical_safety,safety_critical_edge_case_coverage,0.1728,76324,68,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.029963310232368527,3,physical_safety,outcome_severity_exposure,0.11139353283370892,76324,8502,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.04993885038728088,3,content_safety,label_integrity,0.19119779532301806,76324,8508,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.04993885038728088,3,content_safety,representation_imbalance,0.6502560512701492,76324,507,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.04993885038728088,3,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.05,0.04993885038728088,3,physical_safety,safety_critical_edge_case_coverage,0.1736,76324,66,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.04993885038728088,3,physical_safety,outcome_severity_exposure,0.11128871652429118,76324,8494,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.10008153281695882,3,content_safety,label_integrity,0.19073936127797303,76324,8485,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.10008153281695882,3,content_safety,representation_imbalance,0.6503870716569213,76324,505,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.10008153281695882,3,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.1,0.10008153281695882,3,physical_safety,safety_critical_edge_case_coverage,0.1732,76324,67,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.10008153281695882,3,physical_safety,outcome_severity_exposure,0.11097426759603794,76324,8470,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.1999592335915206,3,content_safety,label_integrity,0.18988713512199204,76324,8416,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.1999592335915206,3,content_safety,representation_imbalance,0.6502560512701491,76324,507,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.1999592335915206,3,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.2,0.1999592335915206,3,physical_safety,safety_critical_edge_case_coverage,0.1776,76324,56,0.1,True,stratum support vs declared minimum,fraction
